ticker,name,shortName,type,currencyCode,minTradeQuantity
AEHR_US_EQ,Aehr Test Systems,AEHR,STOCK,USD,0.2
CTRA_US_EQ,Alpha Metallurgical Resources,AMR,STOCK,USD,0.1
CTNM_US_EQ,Contineum Therapeutics,CTNM,STOCK,USD,0.01
EPM_US_EQ,Evolution Petroleum,EPM,STOCK,USD,0.1
EVVTY_US_EQ,Evolution,EVVTY,STOCK,USD,0.01
GCT_US_EQ,GigaCloud Technology,GCT,STOCK,USD,0.1
HBM_US_EQ,Hudbay Minerals,HBM,STOCK,USD,0.1
HGBL_US_EQ,Heritage Global,HGBL,STOCK,USD,0.25
IBTA_US_EQ,Ibotta,IBTA,STOCK,USD,0.01
KSPI_US_EQ,Kaspi.KZ,KSPI,STOCK,USD,0.01
NHYDY_US_EQ,Norsk Hydro,NHYDY,STOCK,USD,0.1
OPRA_US_EQ,Opera,OPRA,STOCK,USD,0.1
PLX_US_EQ,Protalix BioTherapeutics,PLX,STOCK,USD,1.0
PTALF_US_EQ,PetroTal,PTALF,STOCK,USD,1.0
SCYX_US_EQ,SCYNEXIS,SCYX,STOCK,USD,0.1
SMLR_US_EQ,Semler Scientific,SMLR,STOCK,USD,0.01
SSL_US_EQ,Sasol,SSL,STOCK,USD,0.1
TGB_US_EQ,Taseko Mines,TGB,STOCK,USD,1.0
TRXl_EQ,Tissue Regenix,TRX,STOCK,GBX,2.0
VRNOF_US_EQ,Verano,VRNOF,STOCK,USD,0.1
YALA_US_EQ,Yalla,YALA,STOCK,USD,0.1
