ticker,shortName,type,minTradeQuantity,currencyCode
00XJ1d_EQ,00XJ,ETF,0.2,EUR
00XK1d_EQ,00XK,ETF,0.2,EUR
00XQd_EQ,00XQ,ETF,0.2,EUR
1AMZl_EQ,1AMZ,ETF,0.1,USD
1ARGl_EQ,1ARG,ETF,0.1,USD
1ARKl_EQ,1ARK,ETF,0.1,USD
1ARWl_EQ,1ARW,ETF,0.1,USD
1BRNl_EQ,1BRN,ETF,0.07,USD
1COIl_EQ,1COI,ETF,0.1,USD
1COVd_EQ,1COV,STOCK,0.01,EUR
1GISl_EQ,1GIS,ETF,0.01,GBX
1GOOl_EQ,1GOO,ETF,0.1,USD
1MCSl_EQ,1MCS,ETF,0.01,GBX
1MSFl_EQ,1MSF,ETF,0.1,USD
1NGLl_EQ,1NGL,ETF,0.1,GBX
1NIOl_EQ,1NIO,ETF,0.1,USD
1OISl_EQ,1OIS,ETF,0.07,GBX
1PASl_EQ,1PAS,ETF,0.1,USD
1QZd_EQ,1QZ,STOCK,0.01,EUR
1SId_EQ,1SI,STOCK,0.05,EUR
1SXP1d_EQ,1SXP,STOCK,0.03,EUR
1TSLl_EQ,1TSL,ETF,0.1,USD
DRId_EQ,1U1,STOCK,0.1,EUR
21BCd_EQ,21BC,ETF,0.15,EUR
2AAPl_EQ,2AAP,ETF,0.05,GBX
2AMDl_EQ,2AMD,ETF,0.01,GBX
2AMEl_EQ,2AME,ETF,0.01,EUR
2AMZl_EQ,2AMZ,ETF,0.01,GBX
2B70d_EQ,2B70,ETF,0.1,EUR
2B76d_EQ,2B76,ETF,0.1,EUR
2B7Ad_EQ,2B7A,ETF,0.16,EUR
2B7Bd_EQ,2B7B,ETF,0.13,EUR
2B7Cd_EQ,2B7C,ETF,0.13,EUR
2B7Dd_EQ,2B7D,ETF,0.1,EUR
2B7Fd_EQ,2B7F,ETF,1.0,EUR
2B7J1d_EQ,2B7J,ETF,0.14,EUR
2B7Kd_EQ,2B7K,ETF,0.2,EUR
2BABl_EQ,2BAB,ETF,0.01,GBX
2BAEl_EQ,2BAE,ETF,0.01,EUR
2BREl_EQ,2BRE,ETF,0.01,EUR
2BRKl_EQ,2BRK,ETF,0.01,GBX
2BRTl_EQ,2BRT,ETF,0.03,GBX
2BULl_EQ,2BUL,ETF,0.025,GBX
2CARm_EQ,2CAR,ETF,0.1,EUR
2CARl_EQ,2CAR,ETF,0.1,GBX
2FBl_EQ,2FB,ETF,0.01,GBX
2GBd_EQ,2GB,STOCK,0.1,EUR
2GOOl_EQ,2GOO,ETF,0.01,GBX
2GSl_EQ,2GS,ETF,0.01,GBX
2HQd_EQ,2HQ,STOCK,0.61,EUR
2HRAd_EQ,2HRA,STOCK,0.1,EUR
2JPMl_EQ,2JPM,ETF,0.01,GBX
2LZMl_EQ,2LZM,ETF,1.0,USD
2LZMm_EQ,2LZM,ETF,1.0,EUR
2MCLl_EQ,2MCL,ETF,0.001,GBX
2MSFl_EQ,2MSF,ETF,0.1,GBX
2MUl_EQ,2MU,ETF,0.01,GBX
2MUEl_EQ,2MUE,ETF,0.01,EUR
2NFLl_EQ,2NFL,ETF,0.01,GBX
2NGAl_EQ,2NGA,ETF,1.0,GBX
2NVDl_EQ,2NVD,ETF,0.01,GBX
2OIEl_EQ,2OIE,ETF,0.1,EUR
2OIGl_EQ,2OIG,ETF,0.1,GBX
2OIGm_EQ,2OIG,ETF,0.1,EUR
2OILl_EQ,2OIL,ETF,0.1,GBX
2PALl_EQ,2PAL,ETF,0.025,USD
2PPd_EQ,2PP,STOCK,0.01,EUR
2STEl_EQ,2STE,ETF,0.5,EUR
2STRl_EQ,2STR,ETF,0.1,GBX
2STRm_EQ,2STR,ETF,0.1,EUR
2STSl_EQ,2STS,ETF,0.5,GBX
2SZMm_EQ,2SZM,ETF,1.0,EUR
2SZMl_EQ,2SZM,ETF,1.0,USD
2TRVm_EQ,2TRV,ETF,0.1,EUR
